County,Age Group,Race/Ethnicity,Dose,Residents Vaccinated,Population,Coverage
Alcona,12-15 years,NH White,At Least One Dose,69,279,24.73%
Alcona,16-19 years,NH White,At Least One Dose,74,261,28.35%
Alcona,20-29 years,NH White,At Least One Dose,266,730,36.44%
Alcona,20-29 years,NH White,Up-To-Date,19,730,2.6%
Alcona,30-39 years,NH White,At Least One Dose,293,659,44.46%
Alcona,30-39 years,NH White,Up-To-Date,35,659,5.31%
Alcona,40-49 years,NH White,At Least One Dose,373,789,47.28%
Alcona,40-49 years,NH White,Up-To-Date,54,789,6.84%
Alcona,5-11 years,NH White,At Least One Dose,58,427,13.58%
Alcona,50-64 years,NH White,At Least One Dose,1226,2538,48.31%
Alcona,50-64 years,NH White,Up-To-Date,317,2538,12.49%
Alcona,65-74 years,NH White,At Least One Dose,1265,1975,64.05%
Alcona,65-74 years,NH White,Up-To-Date,583,1975,29.52%
Alcona,75+ years,NH White,At Least One Dose,1187,1625,73.05%
Alcona,75+ years,NH White,Up-To-Date,575,1625,35.38%
Alger,12-15 years,NH White,At Least One Dose,80,280,28.57%
Alger,12-15 years,NH White,Up-To-Date,14,280,5%
Alger,16-19 years,NH White,At Least One Dose,116,260,44.62%
Alger,16-19 years,NH White,Up-To-Date,14,260,5.38%
Alger,20-29 years,NH Black,At Least One Dose,63,202,31.19%
Alger,20-29 years,NH White,At Least One Dose,254,619,41.03%
Alger,20-29 years,NH White,Up-To-Date,26,619,4.2%
Alger,30-39 years,NH Black,At Least One Dose,103,180,57.22%
Alger,30-39 years,NH White,At Least One Dose,288,731,39.4%
Alger,30-39 years,NH White,Up-To-Date,41,731,5.61%
Alger,40-49 years,NH Black,At Least One Dose,47,98,47.96%
Alger,40-49 years,NH White,At Least One Dose,291,762,38.19%
Alger,40-49 years,NH White,Up-To-Date,56,762,7.35%
Alger,5-11 years,NH White,At Least One Dose,59,433,13.63%
Alger,5-11 years,NH White,Up-To-Date,14,433,3.23%
Alger,50-64 years,NH American Indian/Alaska Native,At Least One Dose,20,68,29.41%
Alger,50-64 years,NH Black,At Least One Dose,37,52,71.15%
Alger,50-64 years,NH White,At Least One Dose,653,1803,36.22%
Alger,50-64 years,NH White,Up-To-Date,223,1803,12.37%
Alger,65-74 years,NH White,At Least One Dose,682,1316,51.82%
Alger,65-74 years,NH White,Up-To-Date,361,1316,27.43%
Alger,75+ years,NH White,At Least One Dose,499,853,58.5%
Alger,75+ years,NH White,Up-To-Date,242,853,28.37%
Alger,under 5 years,NH White,At Least One Dose,12,260,4.62%
Allegan,12-15 years,Hispanic,At Least One Dose,297,864,34.38%
Allegan,12-15 years,Hispanic,Up-To-Date,54,864,6.25%
Allegan,12-15 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,23,51,45.1%
Allegan,12-15 years,NH Black,At Least One Dose,42,132,31.82%
Allegan,12-15 years,NH White,At Least One Dose,1695,5425,31.24%
Allegan,12-15 years,NH White,Up-To-Date,350,5425,6.45%
Allegan,16-19 years,Hispanic,At Least One Dose,458,771,59.4%
Allegan,16-19 years,Hispanic,Up-To-Date,76,771,9.86%
Allegan,16-19 years,NH Black,At Least One Dose,59,92,64.13%
Allegan,16-19 years,NH White,At Least One Dose,2297,4655,49.34%
Allegan,16-19 years,NH White,Up-To-Date,428,4655,9.19%
Allegan,20-29 years,Hispanic,At Least One Dose,824,1517,54.32%
Allegan,20-29 years,Hispanic,Up-To-Date,86,1517,5.67%
Allegan,20-29 years,NH American Indian/Alaska Native,At Least One Dose,52,76,68.42%
Allegan,20-29 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,71,143,49.65%
Allegan,20-29 years,NH Black,At Least One Dose,122,227,53.74%
Allegan,20-29 years,NH Black,Up-To-Date,14,227,6.17%
Allegan,20-29 years,NH White,At Least One Dose,5059,11328,44.66%
Allegan,20-29 years,NH White,Up-To-Date,639,11328,5.64%
Allegan,30-39 years,Hispanic,At Least One Dose,683,1205,56.68%
Allegan,30-39 years,Hispanic,Up-To-Date,95,1205,7.88%
Allegan,30-39 years,NH American Indian/Alaska Native,At Least One Dose,66,74,89.19%
Allegan,30-39 years,NH American Indian/Alaska Native,Up-To-Date,18,74,24.32%
Allegan,30-39 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,102,153,66.67%
Allegan,30-39 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,16,153,10.46%
Allegan,30-39 years,NH Black,At Least One Dose,99,180,55%
Allegan,30-39 years,NH Black,Up-To-Date,12,180,6.67%
Allegan,30-39 years,NH White,At Least One Dose,5270,12549,42%
Allegan,30-39 years,NH White,Up-To-Date,872,12549,6.95%
Allegan,40-49 years,Hispanic,At Least One Dose,739,1134,65.17%
Allegan,40-49 years,Hispanic,Up-To-Date,126,1134,11.11%
Allegan,40-49 years,NH American Indian/Alaska Native,At Least One Dose,72,55,130.91%
Allegan,40-49 years,NH American Indian/Alaska Native,Up-To-Date,28,55,50.91%
Allegan,40-49 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,86,122,70.49%
Allegan,40-49 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,20,122,16.39%
Allegan,40-49 years,NH Black,At Least One Dose,94,143,65.73%
Allegan,40-49 years,NH Black,Up-To-Date,24,143,16.78%
Allegan,40-49 years,NH White,At Least One Dose,6179,12063,51.22%
Allegan,40-49 years,NH White,Up-To-Date,1342,12063,11.12%
Allegan,5-11 years,Hispanic,At Least One Dose,267,1340,19.93%
Allegan,5-11 years,Hispanic,Up-To-Date,56,1340,4.18%
Allegan,5-11 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,41,76,53.95%
Allegan,5-11 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,11,76,14.47%
Allegan,5-11 years,NH Black,At Least One Dose,32,235,13.62%
Allegan,5-11 years,NH White,At Least One Dose,1873,8921,21%
Allegan,5-11 years,NH White,Up-To-Date,402,8921,4.51%
Allegan,50-64 years,Hispanic,At Least One Dose,889,1151,77.24%
Allegan,50-64 years,Hispanic,Up-To-Date,248,1151,21.55%
Allegan,50-64 years,NH American Indian/Alaska Native,At Least One Dose,95,133,71.43%
Allegan,50-64 years,NH American Indian/Alaska Native,Up-To-Date,39,133,29.32%
Allegan,50-64 years,NH Asian/Native Hawaiian/Other Pacific Islands,At Least One Dose,123,140,87.86%
Allegan,50-64 years,NH Asian/Native Hawaiian/Other Pacific Islands,Up-To-Date,34,140,24.29%
Allegan,50-64 years,NH Black,At Least One Dose,182,150,121.33%
Allegan,50-64 years,NH Black,Up-To-Date,56,150,37.33%
Allegan,50-64 years,NH White,At Least One Dose,13474,22826,59.03%
Allegan,50-64 years,NH White,Up-To-Date,4314,22826,18.9%
Allegan,65-74 years,Hispanic,At Least One Dose,355,379,93.67%
Allegan,65-74 years,Hispanic,Up-To-Date,155,379,40.9%
Allegan,65-74 years,NH American Indian/Alaska Native,At Least One Dose,59,55,107.27%
Allegan,65-74 years,NH American Indian/Alaska Native,Up-To-Date,28,55,50.91%
Allegan,65-74 years,NH Black,At Least One Dose,82,68,120.59%
Allegan,65-74 years,NH Black,Up-To-Date,36,68,52.94%
Allegan,65-74 years,NH White,At Least One Dose,10032,11818,84.89%
Allegan,65-74 years,NH White,Up-To-Date,5062,11818,42.83%
Allegan,75+ years,Hispanic,At Least One Dose,188,174,108.05%
Allegan,75+ years,Hispanic,Up-To-Date,70,174,40.23%
Allegan,75+ years,NH Black,At Least One Dose,66,61,108.2%
Allegan,75+ years,NH Black,Up-To-Date,29,61,47.54%
Allegan,75+ years,NH White,At Least One Dose,7189,7592,94.69%
Allegan,75+ years,NH White,Up-To-Date,3658,7592,48.18%
Allegan,under 5 years,Hispanic,At Least One Dose,63,851,7.4%
Allegan,under 5 years,Hispanic,Up-To-Date,13,851,1.53%
Allegan,under 5 years,NH White,At Least One Dose,368,5911,6.23%
Allegan,under 5 years,NH White,Up-To-Date,88,5911,1.49%
Alpena,12-15 years,NH White,At Least One Dose,281,1146,24.52%
Alpena,12-15 years,NH White,Up-To-Date,34,1146,2.97%
Alpena,16-19 years,NH White,At Least One Dose,365,1092,33.42%
Alpena,16-19 years,NH White,Up-To-Date,55,1092,5.04%
Alpena,20-29 years,Hispanic,At Least One Dose,42,63,66.67%
Alpena,20-29 years,NH White,At Least One Dose,952,2776,34.29%
